POC,"Pos(x,y)",Block_size(w*h),SplitSeries
0,"108,88",4*4,102794273
0,"104,92",8*4,2130977
0,"112,80",4*4,102794273
0,"116,80",4*4,102794273
0,"112,84",4*4,102794273
0,"116,84",4*4,102794273
0,"120,80",4*4,102794273
0,"124,80",4*4,102794273
0,"120,84",4*4,102794273
0,"124,84",4*4,102794273
0,"112,88",4*4,102794273
0,"116,88",4*4,102794273
0,"112,92",4*4,102794273
0,"116,92",4*4,102794273
0,"120,88",4*4,102794273
0,"124,88",4*4,102794273
0,"120,92",4*4,102794273
0,"124,92",4*4,102794273
0,"64,96",4*4,70288417
0,"64,100",4*4,70288417
0,"68,96",4*4,70288417
0,"68,100",4*4,70288417
0,"72,96",4*4,102794273
0,"76,96",4*4,102794273
0,"72,100",4*4,102794273
0,"76,100",4*4,102794273
0,"64,104",4*8,3179553
0,"68,104",4*8,3179553
0,"72,104",4*4,102794273
0,"76,104",4*4,102794273
0,"72,108",4*4,102794273
0,"76,108",4*4,102794273
0,"80,96",4*4,69370913
0,"80,100",4*4,69370913
0,"80,104",4*8,2262049
0,"84,96",4*8,102925345
0,"88,96",4*8,102925345
0,"84,104",8*8,2262049
0,"92,96",4*4,4359201
0,"92,100",4*8,4359201
0,"92,108",4*4,4359201
0,"64,112",4*8,70353953
0,"64,120",4*8,70353953
0,"68,112",4*4,137462817
0,"68,116",4*8,137462817
0,"68,124",4*4,137462817
0,"72,112",4*8,70353953
0,"72,120",4*8,70353953
0,"76,112",4*8,70353953
0,"76,120",4*8,70353953
0,"80,112",4*8,70353953
0,"80,120",4*8,70353953
0,"84,112",4*8,70353953
0,"84,120",4*8,70353953
0,"88,112",8*4,4293665
0,"88,116",4*8,104956961
0,"92,116",4*8,104956961
0,"88,124",4*4,104956961
0,"92,124",4*4,104956961
0,"96,96",8*4,2130977
0,"96,100",4*4,102794273
0,"100,100",4*4,102794273
0,"104,96",8*4,2130977
0,"104,100",8*4,2130977
0,"96,104",4*4,102794273
0,"100,104",4*4,102794273
0,"96,108",8*4,2130977
0,"104,104",4*4,102794273
0,"108,104",4*4,102794273
0,"104,108",8*4,2130977
0,"112,96",8*8,33825
0,"120,96",4*4,102794273
0,"124,96",4*4,102794273
0,"120,100",8*4,2130977
0,"112,104",8*4,2130977
0,"112,108",4*4,102794273
0,"116,108",4*4,102794273
0,"120,104",4*4,102794273
0,"124,104",4*4,102794273
0,"120,108",4*4,102794273
0,"124,108",4*4,102794273
0,"96,112",4*4,102794273
0,"100,112",4*4,102794273
0,"96,116",4*4,102794273
0,"100,116",4*4,102794273
0,"104,112",4*8,3179553
0,"108,112",4*8,3179553
0,"96,120",4*8,3179553
0,"100,120",4*4,70288417
0,"100,124",4*4,70288417
0,"104,120",8*4,2130977
0,"104,124",4*4,102794273
0,"108,124",4*4,102794273
0,"112,112",4*4,70288417
0,"112,116",4*4,70288417
0,"116,112",4*4,70288417
0,"116,116",4*4,70288417
0,"120,112",8*4,2130977
0,"120,116",8*4,2130977
0,"112,120",8*4,2130977
0,"112,124",4*4,102794273
0,"116,124",4*4,102794273
0,"120,120",4*4,102794273
0,"124,120",4*4,102794273
0,"120,124",4*4,102794273
0,"124,124",4*4,102794273
0,"128,0",8*4,70321185
0,"128,4",8*4,70321185
0,"136,0",8*8,3212321
0,"128,8",8*4,102827041
0,"136,8",8*4,102827041
0,"128,12",4*4,169935905
0,"132,12",8*4,169935905
0,"140,12",4*4,169935905
0,"144,0",4*4,137462817
0,"144,4",4*8,137462817
0,"144,12",4*4,137462817
0,"148,0",4*16,3245089
0,"152,0",8*4,69305377
0,"152,4",8*4,69305377
0,"152,8",8*4,69305377
0,"152,12",8*4,69305377
0,"128,16",4*8,103875617
0,"132,16",4*8,103875617
0,"136,16",8*4,70321185
0,"136,20",8*4,70321185
0,"128,24",4*8,103875617
0,"132,24",4*8,103875617
0,"136,24",8*8,3212321
0,"144,16",4*4,102794273
0,"148,16",4*4,102794273
0,"144,20",4*4,102794273
0,"148,20",4*4,102794273
0,"152,16",4*4,102794273
0,"156,16",4*4,102794273
0,"152,20",4*4,102794273
0,"156,20",4*4,102794273
0,"144,24",8*4,2130977
0,"144,28",8*4,2130977
0,"152,24",4*4,102794273
0,"156,24",4*4,102794273
0,"152,28",8*4,2130977
0,"160,0",8*16,99361
0,"168,0",8*4,4293665
0,"168,4",4*8,104956961
0,"172,4",4*8,104956961
0,"168,12",8*4,4293665
0,"176,0",4*8,5309473
0,"180,0",8*8,5309473
0,"188,0",4*8,5309473
0,"176,8",8*4,70321185
0,"176,12",8*4,70321185
0,"184,8",4*8,103875617
0,"188,8",4*8,103875617
0,"160,16",8*4,102827041
0,"168,16",8*4,102827041
0,"160,20",8*4,102827041
0,"168,20",8*4,102827041
0,"160,24",8*4,102827041
0,"168,24",8*4,102827041
0,"160,28",8*4,102827041
0,"168,28",8*4,102827041
0,"176,16",16*4,132129
0,"176,20",8*8,3277857
0,"184,20",4*8,103941153
0,"188,20",4*8,103941153
0,"176,28",16*4,132129
0,"128,32",8*8,33825
0,"136,32",4*8,3179553
0,"140,32",4*4,70288417
0,"140,36",4*4,70288417
0,"128,40",4*4,70288417
0,"128,44",4*4,70288417
0,"132,40",4*4,70288417
0,"132,44",4*4,70288417
0,"136,40",4*8,3179553
0,"140,40",4*8,3179553
0,"144,32",4*4,169935905
0,"148,32",8*4,169935905
0,"156,32",4*4,169935905
0,"144,36",16*4,2163745
0,"144,40",8*4,70321185
0,"144,44",8*4,70321185
0,"152,40",8*8,3212321
0,"128,48",4*16,164897
0,"132,48",8*4,69370913
0,"132,52",8*4,69370913
0,"132,56",4*8,102925345
0,"136,56",4*8,102925345
0,"140,48",4*16,164897
0,"144,48",16*4,2163745
0,"144,52",8*4,102827041
0,"152,52",8*4,102827041
0,"144,56",16*8,66593
0,"160,32",4*8,3179553
0,"164,32",4*8,3179553
0,"168,32",8*8,33825
0,"160,40",4*4,70288417
0,"160,44",4*4,70288417
0,"164,40",4*8,3179553
0,"168,40",4*4,70288417
0,"168,44",4*4,70288417
0,"172,40",4*8,3179553
0,"176,32",8*8,33825
0,"184,32",8*8,33825
0,"176,40",8*8,33825
0,"184,40",4*4,70288417
0,"184,44",4*4,70288417
0,"188,40",4*8,3179553
0,"160,48",8*8,3212321
0,"168,48",8*4,70321185
0,"168,52",8*4,70321185
0,"160,56",16*8,66593
0,"176,48",8*8,33825
0,"184,48",8*4,2130977
0,"184,52",8*4,2130977
0,"176,56",8*8,33825
0,"184,56",8*8,33825
